simulation,position,driver_id,driver_name,best_time,q1_time,q2_time,q3_time,eliminated_in
1,1,VER,VER,94.668,94.933,94.911,94.668,
1,2,PER,PER,94.882,94.940,94.882,95.003,
1,3,SAI,SAI,95.702,95.702,95.783,95.881,
1,4,LEC,LEC,95.872,95.903,96.081,95.872,
1,5,RUS,RUS,96.373,96.644,96.373,96.596,
1,6,HAM,HAM,96.463,96.704,96.715,96.463,
1,7,SAR,SAR,96.503,96.766,96.503,96.825,
1,8,NOR,NOR,96.513,96.550,96.513,96.660,
1,9,PIA,PIA,96.530,96.530,96.565,96.530,
1,10,BOT,BOT,96.606,96.606,96.735,,Q2
1,11,OCO,OCO,96.611,96.611,97.100,,Q2
1,12,STR,STR,96.637,96.637,96.866,,Q2
1,13,RIC,RIC,96.642,96.642,96.652,97.014,
1,14,ZHO,ZHO,96.743,96.743,96.805,,Q2
1,15,MAG,MAG,96.796,96.796,96.853,,Q2
1,16,GAS,GAS,96.801,96.801,,,Q1
1,17,TSU,TSU,96.804,96.804,,,Q1
1,18,ALB,ALB,96.809,96.809,,,Q1
1,19,HUL,HUL,96.857,96.857,,,Q1
1,20,ALO,ALO,96.886,96.886,,,Q1
2,1,VER,VER,94.652,94.722,94.727,94.652,
2,2,PER,PER,94.969,95.088,94.969,95.092,
2,3,SAI,SAI,95.605,95.754,95.605,96.088,
2,4,LEC,LEC,95.872,95.895,95.872,96.141,
2,5,RUS,RUS,96.382,96.382,96.505,96.607,
2,6,HAM,HAM,96.401,96.401,96.749,96.604,
2,7,TSU,TSU,96.426,96.426,96.953,,Q2
2,8,NOR,NOR,96.481,96.781,96.481,96.711,
2,9,BOT,BOT,96.546,96.796,96.546,96.693,
2,10,SAR,SAR,96.640,96.640,96.850,,Q2
2,11,STR,STR,96.664,96.664,96.688,96.943,
2,12,HUL,HUL,96.695,96.695,96.745,96.885,
2,13,ALB,ALB,96.696,96.696,96.948,,Q2
2,14,GAS,GAS,96.731,96.731,96.978,,Q2
2,15,RIC,RIC,96.813,96.813,96.834,,Q2
2,16,ZHO,ZHO,96.858,96.858,,,Q1
2,17,PIA,PIA,96.874,96.874,,,Q1
2,18,OCO,OCO,96.880,96.880,,,Q1
2,19,MAG,MAG,96.925,96.925,,,Q1
2,20,ALO,ALO,96.995,96.995,,,Q1
3,1,PER,PER,94.722,94.998,95.029,94.722,
3,2,VER,VER,94.899,95.078,94.959,94.899,
3,3,SAI,SAI,95.722,95.722,95.849,95.759,
3,4,LEC,LEC,95.862,95.862,95.867,95.996,
3,5,RUS,RUS,96.442,96.442,96.945,96.660,
3,6,NOR,NOR,96.502,96.582,96.502,96.710,
3,7,BOT,BOT,96.564,96.564,96.990,,Q2
3,8,SAR,SAR,96.620,96.803,96.620,96.781,
3,9,HUL,HUL,96.621,96.689,96.621,96.851,
3,10,GAS,GAS,96.642,96.642,96.740,96.719,
3,11,ALO,ALO,96.648,96.648,96.954,,Q2
3,12,ALB,ALB,96.689,96.689,97.058,,Q2
3,13,RIC,RIC,96.731,96.731,96.986,,Q2
3,14,ZHO,ZHO,96.782,96.782,96.916,96.871,
3,15,PIA,PIA,96.817,96.817,97.023,,Q2
3,16,STR,STR,96.851,96.851,,,Q1
3,17,HAM,HAM,96.866,96.866,,,Q1
