simulation,position,driver_id,driver_name,team,total_time,gap_to_leader,pit_stops,fastest_lap,status,dnf_reason,strategy
1,1,VER,VER,Red Bull Racing,6877.775,0.000,4,96.630,finished,,"soft,hard,medium"
1,2,PER,PER,Red Bull Racing,6888.361,10.586,4,97.112,finished,,"soft,hard,medium"
1,3,LEC,LEC,Ferrari,6927.594,49.819,3,98.028,finished,,"soft,hard,medium"
1,4,SAI,SAI,Ferrari,6938.741,60.966,4,97.849,finished,,"soft,hard,medium"
1,5,HUL,HUL,Haas F1 Team,6985.598,107.823,3,99.077,finished,,"soft,hard,medium"
1,6,TSU,TSU,RB,6989.187,111.412,3,99.261,finished,,"soft,hard,medium"
1,7,HAM,HAM,Mercedes,6990.171,112.396,3,98.795,finished,,"soft,hard,medium"
1,8,ZHO,ZHO,Kick Sauber,6993.184,115.409,3,98.974,finished,,"soft,hard,medium"
1,9,MAG,MAG,Haas F1 Team,7001.259,123.485,3,99.312,finished,,"soft,hard,medium"
1,10,RIC,RIC,RB,7013.909,136.134,4,98.891,finished,,"soft,hard,medium"
1,11,ALO,ALO,Aston Martin,7018.449,140.675,4,98.931,finished,,"soft,hard,medium"
1,12,PIA,PIA,McLaren,7019.041,141.266,4,98.807,finished,,"soft,hard,medium"
1,13,NOR,NOR,McLaren,7022.574,144.799,4,98.826,finished,,"soft,hard,medium"
1,14,RUS,RUS,Mercedes,7023.032,145.257,4,98.646,finished,,"soft,hard,medium"
1,15,STR,STR,Aston Martin,7024.296,146.521,4,98.724,finished,,"soft,hard,medium"
1,16,SAR,SAR,Williams,7026.473,148.698,4,98.882,finished,,"soft,hard,medium"
1,17,BOT,BOT,Kick Sauber,1093.410,0.000,0,101.121,dnf,gearbox failure,medium
1,18,ALB,ALB,Williams,1966.884,0.000,1,100.986,dnf,engine failure,"medium,hard"
1,19,GAS,GAS,Alpine,3640.957,0.000,2,99.642,dnf,engine failure,"soft,hard,medium"
1,20,OCO,OCO,Alpine,5408.301,0.000,3,99.159,dnf,electrical failure,"soft,hard,medium"
2,1,VER,VER,Red Bull Racing,6846.518,0.000,4,96.968,finished,,"soft,hard,medium"
2,2,PER,PER,Red Bull Racing,6861.838,15.320,4,97.257,finished,,"soft,hard,medium"
2,3,SAI,SAI,Ferrari,6924.207,77.689,4,97.617,finished,,"soft,hard,medium"
2,4,LEC,LEC,Ferrari,6952.254,105.735,5,98.388,finished,,"soft,hard,medium"
2,5,RUS,RUS,Mercedes,6958.708,112.190,4,98.460,finished,,"soft,hard,medium"
2,6,TSU,TSU,RB,6972.385,125.867,4,99.005,finished,,"soft,hard,medium"
2,7,OCO,OCO,Alpine,6977.038,130.520,4,98.930,finished,,"soft,hard,medium"
2,8,PIA,PIA,McLaren,6982.787,136.269,4,99.113,finished,,"soft,hard,medium"
2,9,HAM,HAM,Mercedes,6987.177,140.659,4,98.886,finished,,"soft,hard,medium"
2,10,ALO,ALO,Aston Martin,6988.861,142.343,4,98.870,finished,,"soft,hard,medium"
2,11,RIC,RIC,RB,6990.675,144.156,4,99.322,finished,,"soft,hard,medium"
2,12,ZHO,ZHO,Kick Sauber,6992.990,146.472,4,99.076,finished,,"soft,hard,medium"
2,13,ALB,ALB,Williams,6994.502,147.983,4,99.299,finished,,"soft,hard,medium"
2,14,HUL,HUL,Haas F1 Team,7001.094,154.575,4,98.386,finished,,"soft,hard,medium"
2,15,MAG,MAG,Haas F1 Team,7003.645,157.127,5,98.907,finished,,"soft,hard,medium"
2,16,NOR,NOR,McLaren,7005.972,159.454,5,98.981,finished,,"soft,hard,medium"
2,17,STR,STR,Aston Martin,7013.082,166.564,5,98.968,finished,,"soft,hard,medium"
2,18,GAS,GAS,Alpine,7017.998,171.479,5,98.646,finished,,"soft,hard,medium"
2,19,BOT,BOT,Kick Sauber,7020.867,174.349,5,98.821,finished,,"soft,hard,medium"
2,20,SAR,SAR,Williams,6062.883,0.000,4,99.012,dnf,crash,"soft,hard,medium"
3,1,VER,VER,Red Bull Racing,7141.712,0.000,4,97.908,finished,,"soft,hard,medium"
3,2,PER,PER,Red Bull Racing,7157.234,15.522,4,97.776,finished,,"soft,hard,medium"
3,3,SAI,SAI,Ferrari,7211.069,69.356,4,98.530,finished,,"soft,hard,medium"
3,4,LEC,LEC,Ferrari,7232.154,90.442,4,98.654,finished,,"soft,hard,medium"
3,5,RUS,RUS,Mercedes,7264.587,122.875,4,99.618,finished,,"soft,hard,medium"
3,6,TSU,TSU,RB,7278.099,136.387,4,99.866,finished,,"soft,hard,medium"
3,7,OCO,OCO,Alpine,7285.775,144.063,4,99.967,finished,,"soft,hard,medium"
3,8,STR,STR,Aston Martin,7288.874,147.162,4,99.951,finished,,"soft,hard,medium"
3,9,ZHO,ZHO,Kick Sauber,7293.345,151.633,4,99.835,finished,,"soft,hard,medium"
3,10,RIC,RIC,RB,7293.749,152.036,4,99.756,finished,,"soft,hard,medium"
3,11,GAS,GAS,Alpine,7294.708,152.996,4,99.696,finished,,"soft,hard,medium"
3,12,ALO,ALO,Aston Martin,7297.723,156.011,4,99.949,finished,,"soft,hard,medium"
3,13,BOT,BOT,Kick Sauber,7299.348,157.636,4,99.873,finished,,"soft,hard,medium"
3,14,PIA,PIA,McLaren,7303.570,161.858,5,99.559,finished,,"soft,hard,medium"
3,15,MAG,MAG,Haas F1 Team,7307.436,165.724,5,98.798,finished,,"soft,hard,medium"
3,16,HAM,HAM,Mercedes,7309.272,167.560,5,99.188,finished,,"soft,hard,medium"
